step,BG,Rick_Action,Rick_Reward,Morty_Action,Morty_Reward,Rick_Done,Morty_Done,Rick_Trunc,Morty_Trunc,Obs
22.0,136.56263004310762,0.10000000149011612,119.85227312711766,0.0,0.0,False,False,False,False,136.56263004310762
23.0,135.28854394110766,0.10000000149011612,121.02378759623707,0.0,0.0,False,False,False,False,135.28854394110766
24.0,133.56468786503063,0.10000000149011612,122.39335636872102,0.0,0.0,False,False,False,False,133.56468786503063
25.0,131.31595848412877,0.0,123.80740901797776,0.0,0.0,False,False,False,False,131.31595848412877
26.0,128.8253080985264,0.0,124.88135459135356,0.0,0.0,False,False,False,False,128.8253080985264
27.0,126.45519929288793,0.10000000149011612,125.42291771811881,0.0,0.0,False,False,False,False,126.45519929288793
28.0,124.56807116859443,0.0,125.51910535240847,0.0,0.0,False,False,False,False,124.56807116859443
29.0,123.48021240204946,0.10000000149011612,125.43959748096472,0.0,0.0,False,False,False,False,123.48021240204946
30.0,123.2308582469183,0.10000000149011612,125.40746860852835,0.0,0.0,False,False,False,False,123.2308582469183
31.0,123.44364034729679,0.10000000149011612,125.43520973624834,0.0,0.0,False,False,False,False,123.44364034729679
32.0,123.64987621713924,0.0,125.45849384004657,0.0,0.0,False,False,False,False,123.64987621713924
33.0,123.38090738735929,0.10000000149011612,125.42742354964264,0.0,0.0,False,False,False,False,123.38090738735929
34.0,122.22371453977644,0.10000000149011612,125.22492953742767,0.0,0.0,False,False,False,False,122.22371453977644
35.0,120.09909135933924,0.0,124.5623891821964,0.0,0.0,False,False,False,False,120.09909135933924
36.0,117.42854676243229,0.10000000149011612,123.195611159706,0.0,0.0,False,False,False,False,117.42854676243229
37.0,114.74487192630454,0.0,123.195611159706,0.0,121.22292648262248,False,False,False,False,114.74487192630454
38.0,112.58088972088618,0.0,123.195611159706,0.0,119.19480830011287,False,False,False,False,112.58088972088618
39.0,111.41960268701632,0.0,123.195611159706,0.0,117.94540342555467,False,False,False,False,111.41960268701632
40.0,111.44486251303611,0.0,123.195611159706,0.0,117.97377657062827,False,False,False,False,111.44486251303611
41.0,112.3917957315197,0.0,123.195611159706,0.0,118.99903191511055,False,False,False,False,112.3917957315197
42.0,113.89594588625093,0.0,123.195611159706,0.10000000149011612,120.47385290850764,False,False,False,False,113.89594588625093
43.0,115.59303372639124,0.0,123.195611159706,0.10000000149011612,121.91130251655466,False,False,False,False,115.59303372639124
44.0,117.11893966201046,0.0,123.195611159706,0.0,122.99867942827734,False,False,False,False,117.11893966201046
45.0,118.1096454695824,0.0,123.195611159706,0.10000000149011612,123.6006996449654,False,False,False,False,118.1096454695824
46.0,118.20117088840595,0.0,123.195611159706,0.0,123.65218625868908,False,False,False,False,118.20117088840595
47.0,117.02953932104433,0.0,123.195611159706,0.10000000149011612,122.94032707240501,False,False,False,False,117.02953932104433
48.0,114.2307602685122,0.0,123.195611159706,0.0,120.77646362253085,False,False,False,False,114.2307602685122
49.0,112.34981312879316,0.0,123.195611159706,0.0,118.95516114858287,False,False,False,False,112.34981312879316
50.0,114.23851195321984,0.0,123.195611159706,0.0,120.78335898908097,False,False,False,False,114.23851195321984
51.0,114.56329570354882,0.0,123.195611159706,0.0,121.06776062862639,False,False,False,False,114.56329570354882
52.0,113.66439565941948,0.0,123.195611159706,0.10000000149011612,120.2591054115768,False,False,False,False,113.66439565941948
53.0,111.88210018254068,0.0,123.195611159706,0.0,118.45647194109335,False,False,False,False,111.88210018254068
54.0,109.55675676862367,0.0,123.195611159706,0.0,115.70628906412662,False,False,False,False,109.55675676862367
55.0,107.02874836375409,0.0,123.195611159706,0.0,112.20478396851536,False,False,False,False,107.02874836375409
56.0,104.63847975742391,0.0,123.195611159706,0.10000000149011612,108.40383479325897,False,False,False,False,104.63847975742391
57.0,102.72638220011288,0.0,123.195611159706,0.10000000149011612,105.02021514709872,False,False,False,False,102.72638220011288
58.0,101.63290457495077,0.0,123.195611159706,0.0,102.94816499526803,False,False,False,False,101.63290457495077
59.0,101.65284266196076,0.0,123.195611159706,0.0,102.98683859041512,False,False,False,False,101.65284266196076
60.0,102.80715046030849,0.0,123.195611159706,0.10000000149011612,105.16930945334866,False,False,False,False,102.80715046030849
