step,BG,Rick_Action,Rick_Reward,Morty_Action,Morty_Reward,Rick_Done,Morty_Done,Rick_Trunc,Morty_Trunc,Obs
36.0,118.43194626710331,0.0,123.77890479172947,0.0,0.0,False,False,False,False,118.43194626710331
37.0,115.23150374095417,0.0,123.77890479172947,0.10000000149011612,121.62521776985318,False,False,False,False,115.23150374095417
38.0,112.7631245710516,0.0,123.77890479172947,0.10000000149011612,119.38066135106806,False,False,False,False,112.7631245710516
39.0,111.38604900130699,0.0,123.77890479172947,0.10000000149011612,117.90763189644542,False,False,False,False,111.38604900130699
40.0,111.21390648495165,0.0,123.77890479172947,0.0,117.71237376345903,False,False,False,False,111.21390648495165
41.0,111.99182098944766,0.0,123.77890479172947,0.0,118.57509741297463,False,False,False,False,111.99182098944766
42.0,113.38293663960894,0.0,123.77890479172947,0.0,119.99204970721473,False,False,False,False,113.38293663960894
43.0,115.05037438154775,0.0,123.77890479172947,0.0,121.47778830982816,False,False,False,False,115.05037438154775
44.0,116.65735620634024,0.0,123.77890479172947,0.0,122.69023622547638,False,False,False,False,116.65735620634024
45.0,117.86729568980081,0.0,123.77890479172947,0.10000000149011612,123.46099431438483,False,False,False,False,117.86729568980081
46.0,118.3438364983758,0.0,123.77890479172947,0.0,123.73104798329678,False,False,False,False,118.3438364983758
47.0,117.75082119509688,0.0,123.77890479172947,0.10000000149011612,123.39210844157515,False,False,False,False,117.75082119509688
48.0,115.7522042193703,0.0,123.77890479172947,0.10000000149011612,122.03380069740956,False,False,False,False,115.7522042193703
49.0,114.99871102399362,0.0,123.77890479172947,0.10000000149011612,121.43523562322878,False,False,False,False,114.99871102399362
50.0,118.55615686661478,0.0,123.77890479172947,0.0,123.8452700305429,False,False,False,False,118.55615686661478
51.0,121.09146137238471,0.0,123.77890479172947,0.0,124.91870355632079,False,False,False,False,121.09146137238471
52.0,122.70720550703496,0.036841005086898804,125.32311718961489,0.0,124.91870355632079,False,False,False,False,122.70720550703496
53.0,123.50587048463137,0.10000000149011612,125.44260923551496,0.0,124.91870355632079,False,False,False,False,123.50587048463137
54.0,123.58993893030006,0.10000000149011612,125.45209255529267,0.0,124.91870355632079,False,False,False,False,123.58993893030006
55.0,123.0619148287907,0.0,125.38275364566425,0.0,124.91870355632079,False,False,False,False,123.0619148287907
56.0,122.02426528890294,0.0,125.17874522024874,0.0,124.91870355632079,False,False,False,False,122.02426528890294
57.0,120.57938345369479,0.0,124.74509594525148,0.0,124.91870355632079,False,False,False,False,120.57938345369479
58.0,118.82964325414673,0.10000000149011612,123.98685725211578,0.0,124.91870355632079,False,False,False,False,118.82964325414673
59.0,116.87890585628482,0.0,123.98685725211578,0.0,122.84049958859453,False,False,False,False,116.87890585628482
60.0,114.83964497162529,0.0,123.98685725211578,0.0,121.3028225903164,False,False,False,False,114.83964497162529
