,BG,Rick_Action,Rick_Reward,Morty_Action,Morty_Reward,Rick_Done,Morty_Done,Rick_Trunc,Morty_Trunc,Obs
0,147.10108105849088,0.0,104.9711714363333,0.0,0.0,False,False,False,False,147.10108105849088
0,148.48458544665976,0.0,102.3297540156118,0.0,0.0,False,False,False,False,148.48458544665976
0,151.5364870597172,0.0,95.93852659128311,0.0,0.0,False,False,False,False,151.5364870597172
0,155.66320520063098,0.0,86.06111460939542,0.0,0.0,False,False,False,False,155.66320520063098
0,160.10173325163544,0.0,73.8520646718955,0.0,0.0,False,False,False,False,160.10173325163544
0,164.0893142061705,0.10000000149011612,61.4823226630549,0.0,0.0,False,False,False,False,164.0893142061705
0,166.91716951226286,0.10000000149011612,51.90644002639351,0.0,0.0,False,False,False,False,166.91716951226286
0,168.19921692038196,0.10000000149011612,47.345359815884194,0.0,0.0,False,False,False,False,168.19921692038196
0,168.03324706343594,0.0,47.94354733666614,0.0,0.0,False,False,False,False,168.03324706343594
0,166.62456166119094,0.10000000149011612,52.928223771834155,0.0,0.0,False,False,False,False,166.62456166119094
0,164.1784084592949,0.0,61.19080056166831,0.0,0.0,False,False,False,False,164.1784084592949
0,160.90924150614046,0.0986291766166687,71.45420311021735,0.0,0.0,False,False,False,False,160.90924150614046
0,157.0871004012199,0.10000000149011612,82.3234071596828,0.0,0.0,False,False,False,False,157.0871004012199
0,153.06544459946394,0.10000000149011612,92.44455198023968,0.0,0.0,False,False,False,False,153.06544459946394
0,149.21622326950188,0.10000000149011612,100.86836327128321,0.0,0.0,False,False,False,False,149.21622326950188
0,145.9113011374254,0.10000000149011612,107.11505531421369,0.0,0.0,False,False,False,False,145.9113011374254
0,143.4876677789738,0.0,111.11704839936658,0.0,0.0,False,False,False,False,143.4876677789738
0,142.0735870809241,0.0,113.22573165595566,0.0,0.0,False,False,False,False,142.0735870809241
0,141.4843125288348,0.0,114.05523247284668,0.0,0.0,False,False,False,False,141.4843125288348
0,141.46552792212975,0.0,114.08119859148644,0.0,0.0,False,False,False,False,141.46552792212975
