step,CGM,Action,Active agent,Jerry_Reward,Morty_Reward,Rick_Reward,Total_Reward,Jerry_Termination,Morty_Termination,Rick_Termination,Jerry_Truncation,Morty_Truncation,Rick_Truncation,Infos,Total Reward,Done,Truncation
409.0,108.041,0.05,Morty,0.0,113.67,124.309,,,,,,,,,237.979,False,False
410.0,108.074,0.05,Morty,0.0,113.717,124.309,,,,,,,,,238.025,False,False
411.0,108.257,0.06,Morty,0.0,113.972,124.309,,,,,,,,,238.281,False,False
412.0,108.475,0.07,Morty,0.0,114.273,124.309,,,,,,,,,238.582,False,False
413.0,108.612,0.07,Morty,0.0,114.46,124.309,,,,,,,,,238.769,False,False
414.0,108.561,0.0,Morty,0.0,114.391,124.309,,,,,,,,,238.7,False,False
415.0,108.262,0.01,Morty,0.0,113.98,124.309,,,,,,,,,238.289,False,False
416.0,107.728,0.04,Morty,0.0,113.227,124.309,,,,,,,,,237.536,False,False
417.0,106.989,0.02,Morty,0.0,112.145,124.309,,,,,,,,,236.454,False,False
418.0,106.073,0.07,Morty,0.0,110.742,124.309,,,,,,,,,235.05,False,False
419.0,105.009,0.01,Morty,0.0,109.024,124.309,,,,,,,,,233.333,False,False
420.0,103.826,0.05,Morty,0.0,107.003,124.309,,,,,,,,,231.312,False,False
421.0,102.554,0.04,Morty,0.0,104.7,124.309,,,,,,,,,229.008,False,False
422.0,101.221,0.06,Morty,0.0,102.141,124.309,,,,,,,,,226.45,False,False
423.0,99.856,0.05,Morty,0.0,99.369,124.309,,,,,,,,,223.677,False,False
424.0,98.412,0.07,Morty,0.0,96.266,124.309,,,,,,,,,220.575,False,False
425.0,96.493,0.03,Morty,0.0,91.872,124.309,,,,,,,,,216.181,False,False
426.0,93.675,0.01,Morty,0.0,84.864,124.309,,,,,,,,,209.173,False,False
427.0,90.276,0.05,Morty,0.0,75.532,124.309,,,,,,,,,199.841,False,False
428.0,86.615,0.03,Morty,0.0,64.402,124.309,,,,,,,,,188.71,False,False
429.0,83.009,0.01,Morty,0.0,52.346,124.309,,,,,,,,,176.655,False,False
430.0,79.776,0.01,Jerry,40.615,52.346,124.309,,,,,,,,,217.27,False,False
431.0,77.234,0.0,Jerry,30.778,52.346,124.309,,,,,,,,,207.433,False,False
432.0,75.701,0.0,Jerry,24.584,52.346,124.309,,,,,,,,,201.238,False,False
433.0,75.494,0.0,Jerry,23.733,52.346,124.309,,,,,,,,,200.388,False,False
434.0,76.865,0.0,Jerry,29.304,52.346,124.309,,,,,,,,,205.959,False,False
435.0,79.664,0.0,Jerry,40.191,52.346,124.309,,,,,,,,,216.846,False,False
436.0,83.139,0.0,Jerry,52.799,52.346,124.309,,,,,,,,,229.454,False,False
437.0,86.406,0.0,Jerry,63.731,52.346,124.309,,,,,,,,,240.385,False,False
438.0,88.578,0.0,Morty,63.731,70.507,124.309,,,,,,,,,258.547,False,False
439.0,88.873,0.07,Morty,63.731,71.399,124.309,,,,,,,,,259.438,False,False
440.0,87.127,0.01,Morty,63.731,66.026,124.309,,,,,,,,,254.065,False,False
441.0,84.101,0.03,Morty,63.731,56.109,124.309,,,,,,,,,244.148,False,False
442.0,80.759,0.04,Jerry,44.274,56.109,124.309,,,,,,,,,224.692,False,False
443.0,78.07,0.0,Jerry,34.072,56.109,124.309,,,,,,,,,214.489,False,False
444.0,76.9,0.0,Jerry,29.444,56.109,124.309,,,,,,,,,209.861,False,False
445.0,77.525,0.0,Jerry,31.933,56.109,124.309,,,,,,,,,212.35,False,False
446.0,79.338,0.0,Jerry,38.959,56.109,124.309,,,,,,,,,219.376,False,False
447.0,81.533,0.0,Jerry,47.096,56.109,124.309,,,,,,,,,227.513,False,False
448.0,83.302,0.0,Jerry,53.366,56.109,124.309,,,,,,,,,233.783,False,False
449.0,83.918,0.0,Jerry,55.486,56.109,124.309,,,,,,,,,235.903,False,False
450.0,83.11,0.0,Jerry,52.697,56.109,124.309,,,,,,,,,233.114,False,False
451.0,81.298,0.0,Jerry,46.243,56.109,124.309,,,,,,,,,226.661,False,False
452.0,79.054,0.0,Jerry,37.874,56.109,124.309,,,,,,,,,218.291,False,False
453.0,76.951,0.0,Jerry,29.65,56.109,124.309,,,,,,,,,210.068,False,False
454.0,75.517,0.0,Jerry,23.828,56.109,124.309,,,,,,,,,204.246,False,False
455.0,75.003,0.0,Jerry,21.701,56.109,124.309,,,,,,,,,202.118,False,False
456.0,75.25,0.0,Jerry,22.725,56.109,124.309,,,,,,,,,203.143,False,False
457.0,76.006,0.0,Jerry,25.834,56.109,124.309,,,,,,,,,206.251,False,False
458.0,77.021,0.0,Jerry,29.928,56.109,124.309,,,,,,,,,210.346,False,False
459.0,78.058,0.0,Jerry,34.025,56.109,124.309,,,,,,,,,214.443,False,False
460.0,78.976,0.0,Jerry,37.577,56.109,124.309,,,,,,,,,217.995,False,False
461.0,79.775,0.0,Jerry,40.61,56.109,124.309,,,,,,,,,221.028,False,False
462.0,80.485,0.0,Jerry,43.26,56.109,124.309,,,,,,,,,223.678,False,False
463.0,81.137,0.0,Jerry,45.657,56.109,124.309,,,,,,,,,226.075,False,False
464.0,81.758,0.0,Jerry,47.909,56.109,124.309,,,,,,,,,228.327,False,False
465.0,82.358,0.0,Jerry,50.052,56.109,124.309,,,,,,,,,230.469,False,False
466.0,82.916,0.0,Jerry,52.02,56.109,124.309,,,,,,,,,232.438,False,False
467.0,83.408,0.0,Jerry,53.731,56.109,124.309,,,,,,,,,234.149,False,False
468.0,83.807,0.0,Jerry,55.105,56.109,124.309,,,,,,,,,235.523,False,False
469.0,84.087,0.0,Jerry,56.063,56.109,124.309,,,,,,,,,236.481,False,False
470.0,84.224,0.0,Jerry,56.526,56.109,124.309,,,,,,,,,236.944,False,False
471.0,84.19,0.0,Jerry,56.412,56.109,124.309,,,,,,,,,236.829,False,False
472.0,83.96,0.0,Jerry,55.629,56.109,124.309,,,,,,,,,236.047,False,False
473.0,83.508,0.0,Jerry,54.078,56.109,124.309,,,,,,,,,234.495,False,False
474.0,83.531,0.0,Jerry,54.158,56.109,124.309,,,,,,,,,234.576,False,False
475.0,84.644,0.0,Jerry,57.945,56.109,124.309,,,,,,,,,238.363,False,False
476.0,85.253,0.0,Jerry,59.973,56.109,124.309,,,,,,,,,240.391,False,False
477.0,85.464,0.0,Morty,59.973,60.671,124.309,,,,,,,,,244.953,False,False
478.0,85.385,0.04,Morty,59.973,60.411,124.309,,,,,,,,,244.693,False,False
479.0,85.123,0.04,Morty,59.973,59.543,124.309,,,,,,,,,243.825,False,False
480.0,84.783,0.03,Morty,59.973,58.412,124.309,,,,,,,,,242.693,False,False
481.0,84.473,0.05,Jerry,57.37,58.412,124.309,,,,,,,,,240.09,False,False
482.0,84.299,0.0,Jerry,56.781,58.412,124.309,,,,,,,,,239.501,False,False
483.0,84.366,0.0,Jerry,57.009,58.412,124.309,,,,,,,,,239.73,False,False
484.0,84.771,0.0,Jerry,58.372,58.412,124.309,,,,,,,,,241.093,False,False
485.0,85.55,0.0,Jerry,60.952,58.412,124.309,,,,,,,,,243.672,False,False
486.0,86.646,0.0,Morty,60.952,64.499,124.309,,,,,,,,,249.76,False,False
487.0,87.985,0.04,Morty,60.952,68.697,124.309,,,,,,,,,253.957,False,False
488.0,89.492,0.0,Morty,60.952,73.242,124.309,,,,,,,,,258.502,False,False
489.0,91.094,0.05,Morty,60.952,77.865,124.309,,,,,,,,,263.126,False,False
490.0,92.728,0.06,Morty,60.952,82.362,124.309,,,,,,,,,267.623,False,False
491.0,94.35,0.07,Morty,60.952,86.604,124.309,,,,,,,,,271.864,False,False
492.0,95.917,0.03,Morty,60.952,90.494,124.309,,,,,,,,,275.754,False,False
493.0,97.387,0.06,Morty,60.952,93.957,124.309,,,,,,,,,279.217,False,False
494.0,98.721,0.01,Morty,60.952,96.944,124.309,,,,,,,,,282.205,False,False
495.0,99.905,0.02,Morty,60.952,99.472,124.309,,,,,,,,,284.732,False,False
496.0,100.96,0.02,Morty,60.952,101.624,124.309,,,,,,,,,286.885,False,False
497.0,101.915,0.04,Morty,60.952,103.492,124.309,,,,,,,,,288.753,False,False
498.0,102.798,0.05,Morty,60.952,105.152,124.309,,,,,,,,,290.413,False,False
499.0,103.638,0.07,Morty,60.952,106.672,124.309,,,,,,,,,291.932,False,False
500.0,104.463,0.06,Morty,60.952,108.106,124.309,,,,,,,,,293.367,False,False
501.0,105.3,0.01,Morty,60.952,109.503,124.309,,,,,,,,,294.764,False,False
502.0,106.175,0.03,Morty,60.952,110.901,124.309,,,,,,,,,296.162,False,False
503.0,107.114,0.0,Morty,60.952,112.331,124.309,,,,,,,,,297.592,False,False
504.0,108.138,0.06,Morty,60.952,113.807,124.309,,,,,,,,,299.068,False,False
505.0,109.24,0.03,Morty,60.952,115.297,124.309,,,,,,,,,300.557,False,False
506.0,110.365,0.03,Morty,60.952,116.713,124.309,,,,,,,,,301.973,False,False
507.0,111.449,0.02,Morty,60.952,117.978,124.309,,,,,,,,,303.239,False,False
508.0,112.43,0.07,Morty,60.952,119.039,124.309,,,,,,,,,304.299,False,False
509.0,113.257,0.02,Morty,60.952,119.87,124.309,,,,,,,,,305.131,False,False
510.0,113.95,0.0,Morty,60.952,120.523,124.309,,,,,,,,,305.784,False,False
511.0,114.64,0.02,Morty,60.952,121.134,124.309,,,,,,,,,306.394,False,False
512.0,115.481,0.07,Morty,60.952,121.824,124.309,,,,,,,,,307.084,False,False
513.0,116.627,0.05,Morty,60.952,122.669,124.309,,,,,,,,,307.93,False,False
514.0,118.216,0.04,Morty,60.952,123.66,124.309,,,,,,,,,308.921,False,False
515.0,120.287,0.07,Morty,60.952,124.636,124.309,,,,,,,,,309.896,False,False
516.0,122.729,0.01,Rick,60.952,124.636,125.327,,,,,,,,,310.915,False,False
517.0,125.402,0.02,Rick,60.952,124.636,125.513,,,,,,,,,311.101,False,False
518.0,128.16,0.05,Rick,60.952,124.636,125.081,,,,,,,,,310.668,False,False
519.0,130.863,0.12,Rick,60.952,124.636,124.041,,,,,,,,,309.629,False,False
520.0,133.366,0.04,Rick,60.952,124.636,122.535,,,,,,,,,308.123,False,False
521.0,135.527,0.03,Rick,60.952,124.636,120.815,,,,,,,,,306.402,False,False
522.0,137.204,0.02,Rick,60.952,124.636,119.211,,,,,,,,,304.799,False,False
523.0,138.253,0.06,Rick,60.952,124.636,118.089,,,,,,,,,303.677,False,False
524.0,138.608,0.08,Rick,60.952,124.636,117.688,,,,,,,,,303.276,False,False
525.0,138.555,0.15,Rick,60.952,124.636,117.749,,,,,,,,,303.337,False,False
526.0,138.525,0.12,Rick,60.952,124.636,117.783,,,,,,,,,303.371,False,False
527.0,138.452,0.1,Rick,60.952,124.636,117.865,,,,,,,,,303.453,False,False
528.0,138.273,0.0,Rick,60.952,124.636,118.067,,,,,,,,,303.655,False,False
529.0,137.92,0.04,Rick,60.952,124.636,118.456,,,,,,,,,304.043,False,False
530.0,137.327,0.1,Rick,60.952,124.636,119.084,,,,,,,,,304.672,False,False
531.0,136.429,0.07,Rick,60.952,124.636,119.982,,,,,,,,,305.569,False,False
532.0,135.159,0.01,Rick,60.952,124.636,121.136,,,,,,,,,306.723,False,False
533.0,133.45,0.05,Rick,60.952,124.636,122.476,,,,,,,,,308.063,False,False
534.0,131.267,0.1,Rick,60.952,124.636,123.834,,,,,,,,,309.421,False,False
535.0,128.749,0.1,Rick,60.952,124.636,124.906,,,,,,,,,310.494,False,False
536.0,126.305,0.14,Rick,60.952,124.636,125.441,,,,,,,,,311.029,False,False
537.0,124.399,0.01,Rick,60.952,124.636,125.513,,,,,,,,,311.101,False,False
538.0,123.498,0.0,Rick,60.952,124.636,125.442,,,,,,,,,311.029,False,False
539.0,124.001,0.14,Rick,60.952,124.636,125.49,,,,,,,,,311.078,False,False
540.0,125.912,0.0,Rick,60.952,124.636,125.481,,,,,,,,,311.069,False,False
541.0,128.641,0.06,Rick,60.952,124.636,124.94,,,,,,,,,310.528,False,False
542.0,131.468,0.13,Rick,60.952,124.636,123.725,,,,,,,,,309.313,False,False
543.0,133.669,0.11,Rick,60.952,124.636,122.317,,,,,,,,,307.905,False,False
544.0,134.592,0.0,Rick,60.952,124.636,121.607,,,,,,,,,307.195,False,False
545.0,133.988,0.02,Rick,60.952,124.636,122.08,,,,,,,,,307.668,False,False
546.0,132.217,0.09,Rick,60.952,124.636,123.291,,,,,,,,,308.879,False,False
547.0,129.774,0.05,Rick,60.952,124.636,124.533,,,,,,,,,310.121,False,False
548.0,127.155,0.07,Rick,60.952,124.636,125.312,,,,,,,,,310.899,False,False
549.0,124.826,0.11,Rick,60.952,124.636,125.523,,,,,,,,,311.111,False,False
550.0,123.078,0.04,Rick,60.952,124.636,125.385,,,,,,,,,310.973,False,False
551.0,121.943,0.01,Rick,60.952,124.636,125.159,,,,,,,,,310.746,False,False
552.0,121.39,0.14,Rick,60.952,124.636,125.01,,,,,,,,,310.598,False,False
553.0,121.394,0.11,Rick,60.952,124.636,125.011,,,,,,,,,310.599,False,False
554.0,121.917,0.05,Rick,60.952,124.636,125.153,,,,,,,,,310.74,False,False
555.0,122.879,0.03,Rick,60.952,124.636,125.353,,,,,,,,,310.941,False,False
556.0,124.129,0.08,Rick,60.952,124.636,125.499,,,,,,,,,311.087,False,False
